0,1,2,3
tt0120172,Soulmates,"6,6",NO DATA
tt0120158,Soleil,"5,7",NO DATA
tt0120063,Santo Stefano,"7,6",NO DATA
tt0120034,Roseanna's Grave,"7,1",38
tt0120211,Still Breathing,"6,5",62
tt0120001,Regeneration,"7,0",NO DATA
tt0120124,"Sinon, oui","7,0",NO DATA
tt0120094,Selena,"6,8",66
tt0119977,Raigyo,"5,6",NO DATA
tt0120112,She's So Lovely,"5,9",NO DATA
tt0120120,Shitsurakuen,"6,6",NO DATA
tt0122529,Henry Fool,"7,1",17
tt0120192,Stag,"5,6",40
tt0120176,The Spanish Prisoner,"7,2",89
tt0122436,La conciergerie,"5,7",NO DATA
tt0119990,One of Our Own,"6,0",NO DATA
tt0120062,Santa Fe,"5,0",NO DATA
tt0120134,Sin querer,"6,2",6
tt0120164,Song jia huang chao,"7,0",NO DATA
tt0120101,Setouchi munraito serenade,"6,6",NO DATA
tt0120275,The Tango Lesson,"6,7",NO DATA
tt0120412,The Underground,"4,7",40
tt0120354,Topless Women Talk About Their Lives,"6,7",NO DATA
tt0120307,Tentação,"6,1",NO DATA
tt0120410,Under ytan,"6,1",NO DATA
tt0120255,The Sweet Hereafter,"7,5",NO DATA
tt0120383,"Truth or Consequences, N.M.","6,3",38
tt0120566,Az út,"8,8",NO DATA
tt0120262,Szökés,"7,2",NO DATA
tt0120385,Tsumetai chi,"6,2",NO DATA
tt0120313,O Testamento do Senhor Napumoceno,"6,6",NO DATA
tt0120329,Tic Tac,"6,7",81
tt0120332,El tiempo de la felicidad,"6,5",7
tt0120358,Touch Me,"6,0",NO DATA
tt0120304,A Tempestade da Terra,"6,3",19
tt0120311,Territorio Comanche,"6,3",NO DATA
tt0120538,Ya pian zhan zheng,"6,4",NO DATA
tt0120323,A Thousand Acres,"6,1",NO DATA
tt0120357,Touch,"5,6",33
tt0122710,Shopping for Fangs,"5,9",50
tt0120409,Uncut,"5,6",83
tt0120441,I vesuviani,"5,8",NO DATA
tt0120244,Sunday,"6,7",52
tt0120322,This Just In...,NO DATA,NO DATA
tt0120391,TwentyFourSeven,"7,0",59
tt0120521,The Winter Guest,"6,8",NO DATA
tt0120259,Silvester Countdown,"6,4",4
tt0120451,Vildängel,"5,9",NO DATA
tt0122804,Yellow,"6,0",6
tt0120636,El color de las nubes,"6,6",NO DATA
tt0123302,Tokyo biyori,"6,8",NO DATA
tt0120739,Lover Girl,"5,2",NO DATA
tt0123167,Marthas Garten,"7,2",19
tt0123001,Broos,"6,5",NO DATA
tt0122187,Nappun yeonghwa,"6,4",NO DATA
tt0121325,Nesut menya koni,"6,9",NO DATA
tt0124295,The Big One,"7,1",NO DATA
tt0123868,Giro di lune tra terra e mare,"7,7",19
tt0123983,Kiss & Tell,"4,3",NO DATA
tt0122393,Baunsu ko gaurusu,"7,1",NO DATA
tt0124312,Cenizas del paraíso,"7,5",NO DATA
tt0124393,Diliryo,"6,8",NO DATA
tt0124653,The Girl with Brains in Her Feet,"6,7",5
tt0122739,Sunsets,"6,7",NO DATA
tt0123075,Fools,"6,8",34
tt0124268,100 Proof,"6,6",60
tt0123385,Artemisia,"6,7",92
tt0124282,Ang lalaki sa buhay ni Selya,"6,6",NO DATA
tt0123013,Clandestins,"7,1",NO DATA
tt0123059,O ergenis,"5,8",NO DATA
tt0125128,The Hanging Garden,"6,9",NO DATA
tt0122614,Minerva,"4,9",86
tt0123295,La terza luna,"6,3",NO DATA
tt0123953,The Lay of the Land,"5,1",NO DATA
tt0125122,Guo dao feng bi,"7,5",NO DATA
tt0123878,Halvveis til Haugesund,"6,2",NO DATA
tt0124115,Le septième ciel,"6,5",NO DATA
tt0123755,Cube,"7,1",NO DATA
tt0124137,Sparkler,"5,5",NO DATA
tt0123707,Combat de fauves,"6,3",NO DATA
tt0123817,Edge,"6,7",62
tt0125129,Ha Noi Mua Dong 46,"7,6",NO DATA
tt0124777,Latin Boys Go to Hell,"5,1",33
tt0125058,Dancing on the Moon,"6,0",67
tt0124780,Ligaya ang itawag mo sa akin,"6,5",NO DATA
tt0125099,Fasl-e panjom,"6,9",17
tt0124028,The North End,"8,4",NO DATA
tt0123329,Xixia lu tiaotiao,"6,4",88
tt0125003,Bent familia,"7,4",19
tt0124116,Sexual Roulette,"4,1",NO DATA
tt0124208,The Waiter,"5,2",NO DATA
tt0122956,L'arche du désert,"6,1",NO DATA
tt0124123,Le siège de l'âme,"6,6",NO DATA
tt0125411,Momentos robados,"7,3",19
tt0125460,The Planet of Junior Brown,"6,2",67
tt0122648,Ovosodo,"7,3",NO DATA
tt0125594,When Passions Collide,"5,6",NO DATA
tt0124207,Vor,"7,6",88
tt0125475,Rizal sa Dapitan,"6,5",NO DATA
tt0125419,My Brother Jack,"7,4",NO DATA
tt0125551,Thirteen,"8,3",30
tt0124185,Under the Skin,"6,5",88
tt0123328,Heung Gong jai jo,"7,5",17
tt0125522,Sue,"7,2",23
tt0123956,Lebensborn,"4,9",NO DATA
tt0124179,Two Girls and a Guy,"5,5",NO DATA
tt0125429,Naneh Lala va bacheharesh,"6,6",NO DATA
tt0125464,Porzûs,"5,5",NO DATA
tt0125980,Passion in the Desert,"6,3",NO DATA
tt0125711,Cosas que dejé en La Habana,"5,9",67
tt0125950,The Night That Never Happened,"4,3",NO DATA
tt0125659,Abre los ojos,"7,7",87
tt0126351,El impostor,"7,0",5
tt0126953,Hudson River Blues,"5,8",NO DATA
tt0127497,Dancehall Queen,"6,8",85
tt0126915,For My Baby,"4,9",NO DATA
tt0127692,Motel Seoninjang,"5,1",NO DATA
tt0127468,Ban sheng yuan,"6,8",NO DATA
tt0127553,Familles je vous hais,"6,7",NO DATA
tt0127952,Unmade Beds,"6,6",73
tt0127983,Az én kis növérem,NO DATA,NO DATA
tt0126928,The Girl Gets Moe,"4,5",NO DATA
tt0126838,Chorok mulkogi,"7,0",NO DATA
tt0127288,Six Ways to Sunday,"6,3",36
tt0125996,Reclusorio,"6,5",NO DATA
tt0128133,Comedian Harmonists,"7,2",81
tt0125828,Let's Get Lost,"6,8",70
tt0126421,Mein Herz - Niemandem!,"6,3",NO DATA
tt0127608,Insignificant Others,"6,5",NO DATA
tt0126606,Pequeños milagros,"6,6",NO DATA
tt0126943,Hide and Seek,"3,8",NO DATA
tt0126622,Preku ezeroto,"7,8",NO DATA
tt0126869,The Dinner,"8,7",NO DATA
tt0126300,Il figlio di Bakunin,"7,1",NO DATA
tt0127064,Paano ang puso ko?,"7,7",NO DATA
tt0126944,Historias clandestinas en La Habana,"7,0",6
tt0127289,Sixth Happiness,"7,1",50
tt0127247,The Ride,"6,6",70
tt0126934,Gordel van smaragd,"6,9",NO DATA
tt0126973,"James Dean: Live Fast, Die Young","4,5",NO DATA
tt0127153,The Price of Desire,"5,4",NO DATA
tt0127643,The Last Road,"5,1",45
tt0126624,Purgatory County,"3,7",NO DATA
tt0129111,The Gambler,"6,3",NO DATA
tt0129075,Exit,"6,8",73
tt0129114,Gaston's War,"6,3",NO DATA
tt0126344,I Went Down,"6,8",NO DATA
tt0126956,Im Namen der Unschuld,"6,2",NO DATA
tt0128376,Nueba Yol 3: Bajo la nueva ley,"5,8",NO DATA
tt0129885,Dogstar,"6,3",5
tt0128214,"First Love, Last Rites","5,5",NO DATA
tt0130406,Krizis srednego vozrasta,"6,3",NO DATA
tt0129258,Nel profondo paese straniero,"6,7",83
tt0129806,Buscando un sueño,"7,1",NO DATA
tt0128836,Watashitachi ga suki datta koto,NO DATA,10
tt0128332,Masumiyet,"8,1",NO DATA
tt0129808,La montagne muette,NO DATA,59
tt0129525,Verspielte Nächte,"5,9",NO DATA
tt0129774,Bandyta,"6,4",NO DATA
tt0130174,Pajarico,"6,6",NO DATA
tt0130314,A Time to Revenge,"6,0",95
tt0129345,Romani kris - Cigánytörvény,"7,2",NO DATA
tt0130748,Guerra de Canudos,"6,9",42
tt0130907,Nonnebørn,"6,6",NO DATA
tt0130266,Sloneczny zegar,"6,4",NO DATA
tt0128949,Bach Cello Suite #4: Sarabande,"7,0",7
tt0130752,Gypsy Magic,"8,1",36
tt0129923,La femme de chambre du Titanic,"6,6",5
tt0129839,Confessions of a Lap Dancer,"4,7",NO DATA
tt0130064,Kroniki domowe,"6,4",19
tt0131102,De verstekeling,"7,5",19
tt0130887,Die Musterknaben,"7,1",3
tt0132889,Blossi/810551,"4,2",NO DATA
tt0131334,Cameleon,"7,5",NO DATA
tt0133028,Zi shu,"7,4",7
tt0133024,Ishq,"6,8",NO DATA
tt0132914,David Searching,"5,8",35
tt0131603,Stir,"4,5",NO DATA
tt0133162,Ptice koje ne polete,"8,0",4
tt0133059,Suen sei cho,"6,2",NO DATA
tt0133266,A világ legkisebb alapítványa,NO DATA,NO DATA
tt0133227,Tau ching nam lui,"5,9",72
tt0134828,Mosafere jonub,"6,6",NO DATA
tt0132992,Gendai ninkyoden,NO DATA,NO DATA
tt0133091,Os Matadores,"6,9",NO DATA
tt0133709,La deuda,"8,0",NO DATA
tt0133035,Jäänmurtaja,"5,5",NO DATA
tt0134836,Nan hai shi san lang,"8,1",NO DATA
tt0133826,Guru,"8,5",NO DATA
tt0133969,Milagros,"7,3",NO DATA
tt0133260,Una vida y dos mandados,"7,9",NO DATA
tt0133137,Orbis Pictus,"7,2",NO DATA
tt0133413,Il testimone dello sposo,"6,1",3
tt0134148,Tri letnja dana,"6,1",NO DATA
tt0135161,Bhai,"5,2",NO DATA
tt0133065,Liu jai yim tam ji yau kau,"4,0",NO DATA
tt0133089,Marutai no onna,"7,2",NO DATA
tt0133118,Navalha na Carne,"4,8",NO DATA
tt0133285,Yit huet jui keung,"6,5",7
tt0134912,Provocateur,"4,9",67
tt0135791,Bartender,"6,2",90
tt0134185,Sawdust Tales,"6,6",NO DATA
tt0134013,Paljas,"7,4",NO DATA
tt0134028,Afula Express,"6,7",19
tt0135649,Shin sarariiman senka,NO DATA,NO DATA
tt0134271,35 Miles from Normal,"4,7",NO DATA
tt0136554,Der Tag des Malers,"5,6",NO DATA
tt0135408,Ein Shemot Al Hadlatot,"7,4",7
tt0135505,Kleines Tropicana - Tropicanita,"7,4",85
tt0135667,Tamás és Juli,"6,4",20
tt0135650,Shvil Hahalav,"7,2",92
tt0136242,Ma Yong Zhen,"6,3",NO DATA
tt0136753,Chevrolet,"7,3",NO DATA
tt0136352,Koyla,"6,2",55
tt0136774,Crisis,"4,2",NO DATA
tt0139442,Madam Savant,"4,3",NO DATA
tt0138122,Tableau ferraille,"7,0",NO DATA
tt0139216,Floating,"6,5",NO DATA
tt0137280,"Zafiros, locura azul","7,9",NO DATA
tt0139075,Bocage - O Triunfo do Amor,"6,8",NO DATA
tt0138675,Het omgekeerde perspectief,NO DATA,NO DATA
tt0138877,Bobo und die Hasenbande 2 - Abenteuer im Wald,"5,9",5
tt0140866,The Broken Giant,"6,0",NO DATA
tt0138451,Il quarto re,"5,5",NO DATA
tt0139249,Le gone du Chaâba,"6,8",NO DATA
tt0139871,Avrio tha xeroume - Dharma Blue Bums,"5,8",NO DATA
tt0141668,La novia de medianoche,"5,7",NO DATA
tt0143626,The Marzipan Woman,NO DATA,NO DATA
tt0142521,Lal Darja,"7,0",95
tt0143131,Ben,"7,4",97
tt0142458,Kishiwada shônen gurentai: Chikemuri junjô-hen,"6,5",NO DATA
tt0142735,One,"6,1",78
tt0143231,Ha-Dybbuk B'sde Hatapuchim Hakdoshim,"7,2",71
tt0145578,With Nobody,NO DATA,NO DATA
tt0143346,Koi gokudo,"6,3",NO DATA
tt0143614,Marie Baie des Anges,"5,9",NO DATA
tt0143999,We Love You Patricia,NO DATA,NO DATA
tt0144020,Xiao Wu,"7,4",NO DATA
tt0142316,Gokudô kuroshakai,NO DATA,NO DATA
tt0143245,Fang lang,"6,8",NO DATA
tt0143751,Mar Baum,"6,8",NO DATA
tt0144260,Jugofilm,"7,0",NO DATA
tt0145046,Little Dieter Needs to Fly,"8,0",NO DATA
tt0143334,Kasaba,"7,0",72
tt0143987,The Voice of Hope,NO DATA,NO DATA
tt0143869,Shabazi,NO DATA,NO DATA
tt0144024,Yatzati L'Hapes Ahavah - Techef Ashuv,"7,9",NO DATA
tt0143838,Rishon Yiheyeh Aharon,NO DATA,NO DATA
tt0144578,Reluctant Angel,"6,2",NO DATA
tt0144125,Cadillac,"6,7",NO DATA
tt0146745,Choh chin luen hau dik yi yan sai gaai,"6,8",NO DATA
tt0147802,1999,"4,7",83
tt0149178,Stricken,"3,1",NO DATA
tt0147842,L'année du capricorne,NO DATA,NO DATA
tt0149601,Agir Roman,"7,6",NO DATA
tt0149171,Strays,"5,5",40
tt0150545,Fifth Ward,"7,0",37
tt0150492,The F-Zone,"5,9",NO DATA
tt0150509,Farba,"5,9",3
tt0151464,Mai fu,"6,7",88
tt0152278,Sanam,"4,9",NO DATA
tt0151741,The New Gods,"7,4",NO DATA
tt0154321,Hak yuk duen cheung goh: Chai sang jue yuk,"5,9",NO DATA
tt0155944,Paranoia,"4,7",NO DATA
tt0157839,Itach Lanetzach,NO DATA,58
tt0156887,Pâfekuto burû,"8,0",NO DATA
tt0158489,Biteu,"6,8",6
tt0156247,15 Months in May,"7,3",NO DATA
tt0157566,East of Hope Street,"5,8",NO DATA
tt0157553,Passion and Romance: Double or Nothing,"4,8",NO DATA
tt0156460,Defying Gravity,"6,6",NO DATA
tt0156951,Retrato de mujer con hombre al fondo,"5,7",NO DATA
tt0157053,Some Prefer Cake,"4,6",NO DATA
tt0158206,The Setting Son,"7,0",NO DATA
tt0158789,Miramar,"6,5",NO DATA
tt0160339,A Gun for Jennifer,"5,8",19
tt0160776,The Boxer 2,"6,0",80
tt0159095,Vilko dantu karoliai,"6,7",NO DATA
tt0160987,Time to Say Goodbye?,"5,8",NO DATA
tt0160539,Modré z nebe,"6,0",6
tt0159458,Geschwister - Kardesler,"6,5",NO DATA
tt0159698,Revelations,"7,8",NO DATA
tt0159507,The Kid,"5,8",49
tt0161061,La vida según Muriel,"6,7",NO DATA
tt0159506,Kau luen kei,"6,1",NO DATA
tt0160463,Libre de culpas,"6,6",6
tt0160444,Lan yue,"6,7",NO DATA
tt0162361,Hasta la victoria siempre,"6,2",5
tt0162480,Mr. & Mrs. Khiladi,"6,3",74
tt0162294,Downer,"8,1",NO DATA
tt0163089,O kyrios me ta gri,"6,4",NO DATA
tt0162878,Beep,"6,8",NO DATA
tt0163361,Tzedek muchlat,"6,5",6
tt0162900,Tábor padlych zien,"7,1",7
tt0163274,Sparkle and Charm,"7,4",82
tt0164786,Niño nadie,"5,0",NO DATA
tt0164887,Silent Cradle,"4,7",17
tt0164638,La hermana,NO DATA,NO DATA
tt0165107,Big City Blues,"3,3",NO DATA
tt0165210,The Deal,"6,5",77
tt0165414,The Others,"4,8",42
tt0165445,River Made to Drown In,"5,5",NO DATA
tt0166123,Circles,"4,8",29
tt0166280,My Dog Vincent,"5,8",NO DATA
tt0166120,El Che,"6,3",NO DATA
tt0167207,In Dark Places,"4,5",14
tt0168918,Kichiku dai enkai,"5,4",NO DATA
tt0169167,Las ratas,"5,8",NO DATA
tt0168074,Mirupafshim,"6,6",NO DATA
tt0168238,Vasiliki,"6,3",NO DATA
tt0167244,Ksiega wielkich zyczen,"7,8",NO DATA
tt0168973,Ai qing lai le,"7,6",71
tt0169557,Anima,"6,8",NO DATA
tt0169880,Shin seiki Evangelion Gekijô-ban: Shito shinsei,"7,2",NO DATA
tt0169619,Black Dawn,"4,1",NO DATA
tt0169574,Mooshak e Kaghazi,"6,5",NO DATA
tt0170541,"Passion and Romance: Same Tale, Next Year","4,8",NO DATA
tt0170624,Stikkfrí,"6,2",NO DATA
tt0169858,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni","8,1",NO DATA
tt0171465,Dusting Cliff 7,"3,9",NO DATA
tt0172534,Hameshaa,"5,1",NO DATA
tt0172711,Chin long chuen suet,"5,8",NO DATA
tt0175541,Crocodile Tears,"4,8",NO DATA
tt0175807,"Keswa, le fil perdu","7,8",NO DATA
tt0176501,Bajo bandera,"5,9",NO DATA
tt0178639,Intolerance,"5,8",NO DATA
tt0178168,17 and Under,"6,5",NO DATA
tt0179290,Layar Lara,"7,9",NO DATA
tt0177578,Bullet on a Wire,"6,2",NO DATA
tt0178055,Tavalod-e yek parvaneh,"6,6",83
tt0179452,Resultado final,"3,6",NO DATA
tt0178444,Figurine,"7,7",3
tt0179338,Mektoub,"5,7",NO DATA
tt0181682,La medaglia,"5,9",NO DATA
tt0183320,Juhannustarinoita,"7,0",NO DATA
tt0183387,Lan Gui Fang 7 gong zhu,NO DATA,NO DATA
tt0183021,Dust,"7,8",8
tt0182374,Pressure Point,"2,6",NO DATA
tt0183601,Omul zilei,"6,7",NO DATA
tt0183891,Tian cai yu bai chi,"6,1",NO DATA
tt0183860,Tango je tuzna misao koja se plese,"6,3",NO DATA
tt0184878,Les sanguinaires,"6,3",17
tt0184872,Rurôni Kenshin: Ishin shishi e no Requiem,"7,3",NO DATA
tt0185417,The Last Bus Home,"5,6",70
tt0186191,Hanggang ngayon ika'y minamahal,"5,3",NO DATA
tt0184779,Ni ge mie ye chang,NO DATA,72
tt0186254,Jie qian zhuan jia,NO DATA,88
tt0185759,Yuen chuen sat hung,"4,6",58
tt0186669,Yung po giu yeung,"5,7",NO DATA
tt0187236,Laws of Deception,"4,5",NO DATA
tt0187357,No Strings Attached,"5,0",5
tt0187202,Kaun Sachcha Kaun Jhootha,"5,0",NO DATA
tt0188164,Pura Handa Kaluwara,"7,8",NO DATA
tt0189404,Vracanje,"3,2",NO DATA
tt0189066,Saving Grace,NO DATA,NO DATA
tt0189941,Pousse Cafe,"7,9",8
tt0189386,Balkanska pravila,"6,8",NO DATA
tt0189117,Yi zhi niao zi xiao jiu jiu,"7,7",NO DATA
tt0189415,O Cego que Gritava Luz,"5,9",3
tt0190369,Doces Poderes,"6,2",NO DATA
tt0190882,Yasaeng dongmul bohoguyeog,"6,1",NO DATA
tt0193177,Friction,"6,0",6
tt0194291,"Queréme así, piantao",NO DATA,NO DATA
tt0197294,Bhoothakkannadi,"7,9",NO DATA
tt0197591,Invierno mala vida,"7,5",NO DATA
tt0199669,Kaliyattam,"7,8",NO DATA
tt0201689,Ioanna s' agapo,"5,6",NO DATA
tt0202362,La furia,"4,4",NO DATA
tt0205967,Get the Hell Out of Hamtown,"8,8",7
tt0204555,Plaza de almas,"6,8",NO DATA
tt0205224,A Little Rain Must Fall,"8,2",NO DATA
tt0207964,An ju,"7,1",83
tt0214054,Kosumosu,"6,2",NO DATA
tt0212075,Cuestión de suerte,"6,2",NO DATA
tt0212940,Femeia în rosu,"6,8",NO DATA
tt0215550,Bashir,"4,6",100
tt0216559,Babae,"7,1",NO DATA
tt0216762,Fuck Hamlet,"5,0",5
tt0216563,Batang PX,"7,6",NO DATA
tt0217140,Waalo Fendo - Là où la terre gèle,"6,5",NO DATA
tt0216937,Nasaan ang puso,"8,0",8
tt0216753,Flames: The Movie,"8,1",NO DATA
tt0217660,Mohabbat,"4,9",44
tt0217671,My Night with Reg,"6,5",NO DATA
tt0219668,The Emissary: A Biblical Epic,"6,7",NO DATA
tt0221016,Berlin,"6,3",72
tt0222369,Sinans bryllup,"5,8",NO DATA
tt0223998,Hong he gu,NO DATA,71
tt0225029,Aflatoon,"4,5",20
tt0226222,Noche de ronda,"3,8",NO DATA
tt0227358,Reencuentros,NO DATA,NO DATA
tt0230496,Maldoror,"6,7",NO DATA
tt0233422,Chachi 420,"7,4",62
tt0233851,Haven,"6,6",NO DATA
tt0233358,Blue Days Lost,NO DATA,NO DATA
tt0234530,Prologue (Abhaas),"8,0",NO DATA
tt0236131,Czas zdrady,"5,3",NO DATA
tt0236304,Hollywood Safari,"4,1",17
tt0236454,Love in the First Degree,NO DATA,NO DATA
tt0236494,Mi mo kokoro mo,"5,6",NO DATA
tt0238236,Furenchi doressingu,"5,9",NO DATA
tt0239220,Aiqing mala tang,"7,0",NO DATA
tt0240841,Pyeon ji,"6,9",88
tt0241604,Jogho,"7,2",NO DATA
tt0244301,Where the Air Is Cool and Dark,"6,3",NO DATA
tt0245944,Hitler,"6,3",NO DATA
tt0246070,Master,"6,8",NO DATA
tt0247943,Backroad Diner,"5,1",NO DATA
tt0247924,Anaganaga Oka Roju,"7,2",NO DATA
tt0248497,Suswagatham,"7,1",NO DATA
tt0248042,Gokulamlo Seetha,"5,7",NO DATA
tt0251426,Tarazu,"4,1",NO DATA
tt0250122,Yeshwant,"7,2",NO DATA
tt0250128,Una luz en la oscuridad,"5,6",NO DATA
tt0249361,Annamayya,"8,0",100
tt0251107,Gundagardi,"5,9",NO DATA
tt0251356,Qahar,"3,8",NO DATA
tt0251194,Mahaanta: The Film,"4,1",NO DATA
tt0251896,Always Something Better,"4,7",NO DATA
tt0251053,Do Ankhen Barah Hath,"4,2",NO DATA
tt0251143,Insaaf: The Final Justice,"3,9",NO DATA
tt0261537,Apartheid Slave-Women's Justice,"2,0",96
tt0261730,Hei yanjing,"6,7",NO DATA
tt0261884,Osey Ramulamma,"7,9",NO DATA
tt0261338,Sei yuet sei yat,"4,5",NO DATA
tt0264691,Hoover Park,"8,1",8
tt0265479,Overture 1812,"5,4",NO DATA
tt0268584,Rokoko,"7,4",NO DATA
tt0269086,Chinnabbayi,"5,2",NO DATA
tt0269758,Raja Ki Ayegi Baraat,"3,7",NO DATA
tt0272081,Etterfølgeren,"5,4",NO DATA
tt0272583,Disoriented,"8,1",NO DATA
tt0273930,Otsnebebis sasaplao,"7,7",71
tt0274789,Minsaara Kanavu,"6,7",NO DATA
tt0275025,Up on the Roof,NO DATA,NO DATA
tt0276100,The Elastic Zenith,"6,0",6
tt0275448,Keiko desu kedo,"6,3",NO DATA
tt0276929,Drancy Avenir,"7,0",NO DATA
tt0280715,Gu huo tian tang,"4,4",NO DATA
tt0284966,Panje dar khak,"5,4",NO DATA
tt0287324,Azam,"6,5",NO DATA
tt0285997,The Ride,"6,3",70
tt0286938,Salma Pe Dil Aa Gaya,"6,0",NO DATA
tt0287065,Udaan,"3,6",NO DATA
tt0286761,Koi Kisise Kum Nahin,"6,4",NO DATA
tt0286503,Betaabi,"4,7",NO DATA
tt0286768,Köpekler Adasi,"6,7",71
tt0288678,Orestis,"8,1",4
tt0289685,Daava,"4,1",NO DATA
tt0289657,24 horas (algo está por explotar),"5,2",5
tt0290098,Varnapakittu,"5,8",NO DATA
tt0290231,Lav Kush,"6,2",NO DATA
tt0290237,Maa Nannaki Pelli,"6,5",NO DATA
tt0293886,Olgami,"6,3",NO DATA
tt0294589,Fukigen na kajitsu,"5,0",NO DATA
tt0300263,Ngã ba Dong Loc,"6,9",7
tt0301895,Steaming Milk,"7,7",NO DATA
tt0304072,Gekijôban Furandaasu no inu,"7,7",35
tt0304099,Graciadió,"6,5",NO DATA
tt0306518,Barricade,NO DATA,NO DATA
tt0306483,To athoo soma,"6,4",NO DATA
tt0312849,La journée de Wanda,NO DATA,NO DATA
tt0314176,Holiday in Seoul,"6,7",NO DATA
tt0316078,Kadhalukku Mariyadhai,"8,2",NO DATA
tt0316194,"Silna, kak smert, lyubov","3,3",NO DATA
tt0317942,Nammoora Mandaara Hoove,"7,9",NO DATA
tt0320416,"Sapucay, mi pueblo","4,7",NO DATA
tt0318729,Sulamit,"6,6",7
tt0328376,Sasori in U.S.A.,"4,9",NO DATA
tt0327956,Insyalla,"4,9",NO DATA
tt0334488,Thai Saheba,"7,5",NO DATA
tt0337145,The Sarah Balabagan Story,"6,1",NO DATA
tt0337442,Vsyo vokrug zasypalo snegom,NO DATA,NO DATA
tt0344352,Soltan,"5,2",NO DATA
tt0344497,Tufan,"5,1",NO DATA
tt0346682,Camino a Santa Fé,"7,8",NO DATA
tt0348338,Wala ka nang puwang sa mundo,"5,7",NO DATA
tt0350475,Zmeinyy istochnik,"6,6",88
tt0350720,Ciudad de Dios,"8,1",NO DATA
tt0351126,Jeevan Yudh,"5,2",NO DATA
tt0351183,Krantikari,"6,5",NO DATA
tt0354035,The Solution,NO DATA,88
tt0355169,Aaram Thamburan,"8,1",NO DATA
tt0355777,Mojezeye khandeh,"6,6",83
tt0355523,Harishyashringan,"6,5",NO DATA
tt0355663,Krishnagudiyil Oru Pranayakalathu,"6,9",NO DATA
tt0359603,Liktendzirnas,"7,2",NO DATA
